period,region,tax_type,accrued,paid,debt,taxpayers,penalties
2024-01,Брестская область,Акцизы,138385534.0,92129026.0,46256508.0,345652,6293158.0
2024-01,Брестская область,Имущественные налоги,335357824.0,257525866.0,77831958.0,405334,12526462.0
2024-01,Брестская область,НДС,163459396.0,137370402.0,26088994.0,121170,3233375.0
2024-01,Брестская область,Налог на прибыль,397656286.0,326624513.0,71031773.0,243785,6358304.0
2024-01,Брестская область,Подоходный налог,461452239.0,314213498.0,147238741.0,188026,18181142.0
2024-01,Витебская область,Акцизы,173489532.0,155328090.0,18161442.0,55623,1535788.0
2024-01,Витебская область,Имущественные налоги,107371994.0,88063965.0,19308029.0,151550,1185407.0
2024-01,Витебская область,НДС,159328460.0,137285769.0,22042691.0,387860,3434751.0
2024-01,Витебская область,Налог на прибыль,375882566.0,259781563.0,116101003.0,73088,12538945.0
2024-01,Витебская область,Подоходный налог,322395417.0,211534033.0,110861384.0,51042,12199635.0
2024-01,Гомельская область,Акцизы,393848404.0,308531986.0,85316418.0,78052,5412677.0
2024-01,Гомельская область,Имущественные налоги,442690201.0,357563731.0,85126470.0,42339,8857832.0
2024-01,Гомельская область,НДС,425563953.0,358988878.0,66575075.0,396001,5684939.0
2024-01,Гомельская область,Налог на прибыль,321465379.0,283302892.0,38162487.0,16449,4051791.0
2024-01,Гомельская область,Подоходный налог,76901525.0,59449462.0,17452063.0,44074,1566748.0
2024-01,Гродненская область,Акцизы,199679237.0,174339706.0,25339531.0,10809,3092049.0
2024-01,Гродненская область,Имущественные налоги,210831103.0,152237646.0,58593457.0,388035,6272927.0
2024-01,Гродненская область,НДС,173398764.0,120695961.0,52702803.0,128888,5011672.0
2024-01,Гродненская область,Налог на прибыль,571323816.0,446431144.0,124892672.0,298213,15527237.0
2024-01,Гродненская область,Подоходный налог,540541890.0,354680369.0,185861521.0,67627,28205523.0
2024-01,Минская область,Акцизы,704571283.0,484557042.0,220014241.0,346934,33508206.0
2024-01,Минская область,Имущественные налоги,231346127.0,202360805.0,28985322.0,200702,2535713.0
2024-01,Минская область,НДС,206069781.0,136382548.0,69687233.0,264970,10231415.0
2024-01,Минская область,Налог на прибыль,317295911.0,246995934.0,70299977.0,163255,7510129.0
2024-01,Минская область,Подоходный налог,156308762.0,115351622.0,40957140.0,415187,3056684.0
2024-01,Могилёвская область,Акцизы,276810014.0,183283071.0,93526943.0,133194,15517808.0
2024-01,Могилёвская область,Имущественные налоги,448880048.0,327030579.0,121849469.0,232430,20919807.0
2024-01,Могилёвская область,НДС,346367033.0,288005859.0,58361174.0,54375,8433732.0
2024-01,Могилёвская область,Налог на прибыль,403874828.0,302966305.0,100908523.0,133243,9205688.0
2024-01,Могилёвская область,Подоходный налог,160462626.0,108968574.0,51494052.0,228569,2825151.0
2024-01,г. Минск,Акцизы,340757741.0,310801205.0,29956536.0,495422,4529124.0
2024-01,г. Минск,Имущественные налоги,854531340.0,570169509.0,284361831.0,155259,37568853.0
