period,region,tax_type,accrued,paid,debt,taxpayers
2024-01,Брестская область,Акцизы,71785986.0,59616022.0,12169964.0,65216
2024-01,Брестская область,Имущественные налоги,292413017.0,226300557.0,66112460.0,302632
2024-01,Брестская область,НДС,603499695.0,527887307.0,75612388.0,199571
2024-01,Брестская область,Налог на прибыль,510438676.0,440237831.0,70200845.0,93341
2024-01,Брестская область,Подоходный налог,524766549.0,437798976.0,86967573.0,155562
2024-01,Витебская область,Акцизы,95900043.0,79536106.0,16363937.0,220164
2024-01,Витебская область,Имущественные налоги,450479218.0,328521121.0,121958097.0,31229
2024-01,Витебская область,НДС,423295241.0,347683683.0,75611558.0,229996
2024-01,Витебская область,Налог на прибыль,490264273.0,431637898.0,58626375.0,86230
2024-01,Витебская область,Подоходный налог,84450583.0,55595577.0,28855006.0,222360
2024-01,Гомельская область,Акцизы,193900065.0,173601983.0,20298082.0,57831
2024-01,Гомельская область,Имущественные налоги,163445006.0,122206099.0,41238907.0,119159
2024-01,Гомельская область,НДС,239673840.0,157257738.0,82416102.0,309613
2024-01,Гомельская область,Налог на прибыль,565820131.0,435943020.0,129877111.0,67839
2024-01,Гомельская область,Подоходный налог,474672749.0,329206143.0,145466606.0,300237
2024-01,Гродненская область,Акцизы,371273226.0,299879780.0,71393446.0,184660
2024-01,Гродненская область,Имущественные налоги,257563109.0,220165016.0,37398093.0,81322
2024-01,Гродненская область,НДС,308093723.0,265041552.0,43052171.0,118196
2024-01,Гродненская область,Налог на прибыль,79508966.0,58248928.0,21260038.0,191680
2024-01,Гродненская область,Подоходный налог,422968518.0,285937529.0,137030989.0,201131
2024-01,Минская область,Акцизы,349800140.0,248800780.0,100999360.0,69735
2024-01,Минская область,Имущественные налоги,316813277.0,246094239.0,70719038.0,146236
2024-01,Минская область,НДС,158208951.0,144300560.0,13908391.0,378748
2024-01,Минская область,Налог на прибыль,473161897.0,402701363.0,70460534.0,85785
2024-01,Минская область,Подоходный налог,522473320.0,405446962.0,117026358.0,327432
2024-01,Могилёвская область,Акцизы,265529374.0,207484055.0,58045319.0,305089
2024-01,Могилёвская область,Имущественные налоги,298208349.0,271015024.0,27193325.0,231742
2024-01,Могилёвская область,НДС,320426064.0,211877193.0,108548871.0,39528
2024-01,Могилёвская область,Налог на прибыль,344396877.0,277889193.0,66507684.0,70185
2024-01,Могилёвская область,Подоходный налог,121306435.0,82235913.0,39070522.0,135423
2024-01,г. Минск,Акцизы,226958259.0,198239055.0,28719204.0,348018
2024-01,г. Минск,Имущественные налоги,1518419682.0,1168760782.0,349658900.0,370457
2024-01,г. Минск,НДС,220503178.0,194444430.0,26058748.0,487183
2024-01,г. Минск,Налог на прибыль,822897001.0,617267768.0,205629233.0,94591
2024-01,г. Минск,Подоходный налог,361039255.0,308871870.0,52167385.0,70945
2024-02,Брестская область,Акцизы,472876436.0,406626119.0,66250317.0,140031
2024-02,Брестская область,Имущественные налоги,482182489.0,391451827.0,90730662.0,286115
2024-02,Брестская область,НДС,625010767.0,536536341.0,88474426.0,142564
2024-02,Брестская область,Налог на прибыль,156280026.0,106761862.0,49518164.0,33380
2024-02,Брестская область,Подоходный налог,431652408.0,367609519.0,64042889.0,178932
2024-02,Витебская область,Акцизы,87508893.0,63991416.0,23517477.0,60941
2024-02,Витебская область,Имущественные налоги,350428261.0,240178481.0,110249780.0,191500
2024-02,Витебская область,НДС,486849697.0,318284220.0,168565477.0,69838
2024-02,Витебская область,Налог на прибыль,234790308.0,165278155.0,69512153.0,358783
2024-02,Витебская область,Подоходный налог,154390698.0,105432601.0,48958097.0,127752
2024-02,Гомельская область,Акцизы,521405268.0,455679905.0,65725363.0,103391
2024-02,Гомельская область,Имущественные налоги,342848843.0,266116883.0,76731960.0,239029
2024-02,Гомельская область,НДС,345740306.0,251470921.0,94269385.0,358780
2024-02,Гомельская область,Налог на прибыль,96921074.0,88283721.0,8637353.0,81517
2024-02,Гомельская область,Подоходный налог,545420824.0,447885007.0,97535817.0,323060
2024-02,Гродненская область,Акцизы,85124595.0,58690580.0,26434015.0,80880
2024-02,Гродненская область,Имущественные налоги,139732937.0,121633828.0,18099109.0,354886
2024-02,Гродненская область,НДС,429053981.0,349088733.0,79965248.0,386078
2024-02,Гродненская область,Налог на прибыль,197776762.0,152792864.0,44983898.0,207056
2024-02,Гродненская область,Подоходный налог,443267821.0,332907295.0,110360526.0,387009
2024-02,Минская область,Акцизы,921200564.0,820341974.0,100858590.0,110083
2024-02,Минская область,Имущественные налоги,693395364.0,532164443.0,161230921.0,481542
2024-02,Минская область,НДС,635602954.0,508361705.0,127241249.0,272584
2024-02,Минская область,Налог на прибыль,731693971.0,526168872.0,205525099.0,425879
2024-02,Минская область,Подоходный налог,354433806.0,260731255.0,93702551.0,96135
2024-02,Могилёвская область,Акцизы,440105526.0,307635774.0,132469752.0,328842
2024-02,Могилёвская область,Имущественные налоги,351183452.0,276108185.0,75075267.0,308069
2024-02,Могилёвская область,НДС,389633555.0,350148881.0,39484674.0,225339
2024-02,Могилёвская область,Налог на прибыль,102893107.0,83303168.0,19589939.0,199677
2024-02,Могилёвская область,Подоходный налог,104453442.0,71151838.0,33301604.0,194308
2024-02,г. Минск,Акцизы,1163889647.0,790385885.0,373503762.0,354358
2024-02,г. Минск,Имущественные налоги,923496339.0,670396580.0,253099759.0,162598
2024-02,г. Минск,НДС,708310409.0,550953683.0,157356726.0,539135
